"Gene_ID","s1C104_Pre","s1C110_Pre","s1C125_Pre","s1C113_Pre","s1C114_Pre"
"PTPRR",2,5,6,0,0
"S100A7A",0,0,0,0,0
"MOB3C",830,718,583,481,490
"ELL3",18,17,10,32,8
"HNRNPA3P1",51,63,44,86,40
"PSMC6",1189,840,887,1772,1003
"LINC00880",36,45,43,34,19
"MIR3670-2",0,0,0,0,0
"MIR892B",0,0,0,0,0
"LGALS2",53,366,165,0,0
"LINC02353",0,0,0,0,0
"DNER",0,0,0,0,0
"LOC101928847",0,0,0,0,0
"ANKRD13A",5550,5082,3854,5005,4434
"TMEM9B-AS1",159,102,166,311,183
"LINC02241",0,0,0,0,0
"ESCO1",3277,2796,2272,3007,2428
"MT1HL1",0,0,0,0,0
"SH3BGRL2",135,1565,2206,146,250
"GALNTL6",0,0,0,0,0
"ERCC8",537,571,454,463,350
"LINC01395",17,39,45,61,23
"LOC101928283",0,0,0,0,0
"TTTY23B",0,0,0,0,0
"HTR3A",0,9,0,0,15
"HNRNPKP3",0,0,0,0,0
"MTF1",2028,1573,1211,1442,1269
"CD84",11104,5044,6337,6068,5082
"PATE3",0,0,0,0,0
"SEPT7P9",53,25,16,39,30
"MIR3198-1",29,19,23,46,14
"CEP76",377,247,313,320,384
"CCER2",13,5,17,20,7
"DEFB104B",0,0,0,0,0
"TARDBP",5358,3271,4934,6705,3105
"HOXA9",0,5,4,0,0
"NPTX2",23,6,4,0,1
"MAP3K20",441,284,314,85,126
"VAMP4",1966,1398,1656,2219,1632
"ULBP3",27,45,24,43,9
"CEP89",313,282,219,213,211
"IDE",2217,1939,1584,2274,1722
"SLC25A39",1166,963,877,1304,960
"STMN3",1504,1354,1617,2147,961
"ZMYM3",1776,1753,1393,1830,1400
"FIBP",480,485,441,425,249
"POPDC2",150,45,84,132,68
"CNDP2",1896,1954,1758,2169,1505
"LOC105369691",35,4,0,0,0
"CATIP",0,11,0,0,0
"GRID1",0,2,0,0,0
"NEURL3",0,0,0,0,0
"CDK8",672,709,543,738,654
"ASCL2",143,55,98,15,19
"LINC00836",0,0,0,0,0
"DBR1",882,701,671,942,683
"TRIM58",83,705,830,36,84
"MIR4436B2",0,0,0,0,0
"LINC01941",0,0,0,0,0
"LINC01344",0,0,0,0,0
"ATP6AP1L",168,41,40,39,42
"NBPF26",1424,699,1175,405,717
"KLRC4",153,44,13,31,13
"WASIR2",3,0,2,0,0
"CADPS2",0,3,3,0,0
"BTBD2",1963,1801,1509,1851,1394
"LRIG1",2852,3135,2069,3461,2919
"MUC19",0,0,0,0,0
"CERS6-AS1",0,0,0,0,1
"NAGPA-AS1",8,31,22,40,14
"ZNF582",148,66,114,130,43
"SNORA69",48,7,22,25,16
"LOC101927267",0,0,0,0,0
"MIR6790",0,0,0,0,0
"ATCAY",0,0,0,0,0
"ZNF768",134,187,134,154,94
"CDH9",0,5,4,5,0
"LINC01121",4,0,0,5,0
"LINC00866",16,14,21,17,20
"OR4K17",0,0,0,0,0
"FAM111B",128,95,70,61,86
"TNFRSF13C",143,103,112,186,139
"LOC102724738",0,0,0,0,0
"GLCE",481,548,317,400,316
"PRUNE2",4,58,14,9,14
"PIP5K1C",1641,1447,1238,1606,1292
"LOC441204",25,4,2,6,1
"GABRG3",0,0,0,0,0
"ICA1",74,111,76,62,148
"NKIRAS1",180,127,76,142,104
"PAX7",0,0,0,0,0
"TARSL2",1675,1048,1149,1702,1402
"PROSER1",4024,3158,2790,3723,2866
"MIR193A",0,0,0,0,0
"LOC105369332",51,17,15,10,10
"ISX-AS1",0,2,0,0,0
"MIR3150B",0,0,0,0,0
"ARL9",5,3,0,4,9
"ZPLD1",0,0,0,0,0
"SBSN",0,0,0,0,0
"KRTAP10-12",0,0,0,0,0
"ARNT",2918,2519,2201,3311,2280
"LOC284581",225,0,162,247,0
"OR5L1",0,0,0,0,0
"MIR6886",0,0,0,0,0
"LEP",0,0,0,0,0
"UAP1",1169,753,595,920,1950
"DPYSL3",40,14,5,8,6
"NUDT4P1",0,0,0,0,0
"SCN4B",0,6,10,0,0
"DNAH8",36,115,33,24,51
"RIBC2",49,0,32,56,15
"LOC101929231",0,9,5,8,0
"PRMT8",0,0,0,0,0
"KIF20B",1699,1069,1066,1768,1271
"DCUN1D1",3325,3029,2331,3111,2085
