"Gene_ID","A1","A2","A3","A4","A5","A6","A10","B2","B5"
"OR10AG1",0,0,0,0,0,0,0,0,0
"LCE1A",0,0,0,0,0,0,0,0,0
"FIBIN",0,0,0,0,0,0,0,0,0
"FBXO44",100,219,346,177,198,343,284,359,607
"LINC00951",3,5,2,0,0,7,20,4,2
"LOC339059",0,2,4,2,0,0,5,2,0
"LOC105372833",0,0,0,0,0,0,0,0,0
"RACK1",10968,21570,22388,18797,20817,26894,32870,23340,36732
"BMPR2",1372,2144,2533,1507,1497,2917,2661,2948,3086
"MIR6860",0,0,0,0,0,0,0,0,0
"MELTF",6,6,14,3,10,21,16,17,4
"LINC01801",47,81,82,20,21,97,104,115,135
"WDR45B",462,747,1553,780,694,876,866,950,1173
"LIPC-AS1",0,0,0,0,0,1,0,0,1
"LINC00430",0,0,0,0,0,0,0,0,0
"CXADR",12,19,14,11,5,52,42,46,30
"TVP23A",0,3,2,0,3,1,1,4,0
"TBC1D9B",687,1046,1412,740,684,1529,1610,1711,1999
"DNAJA3",225,441,438,136,101,640,599,550,657
"OR4B1",0,0,0,0,0,0,0,3,0
"SDHC",468,669,802,452,385,1105,954,1040,1426
"NOMO1",381,723,830,362,391,863,1001,906,1413
"LOC105375545",1,0,0,2,0,5,5,5,2
"SCARB1",11,34,19,21,18,30,28,49,189
"GOLGA8F",0,0,0,0,0,0,0,0,0
"MIR181A1",0,1,0,0,0,0,0,0,0
"SCYL2",801,1257,1900,1529,1436,1863,2058,2158,2774
"CSN1S2BP",0,0,0,0,0,0,0,0,0
"DYNC1I2",415,619,688,180,158,1019,1111,1274,1175
"ANKRD13B",19,17,48,11,28,43,39,52,60
"EQTN",0,0,0,0,0,0,2,1,0
"SPDEF",2,2,5,7,5,2,6,4,3
"PMPCB",845,1912,2488,1539,1719,2260,2724,2279,2365
"OR1J2",0,2,0,2,0,0,2,11,0
"ATP1A3",61,61,139,100,113,149,140,85,183
"CDH4",4,23,4,23,20,6,5,18,16
"TMEM243",470,861,1218,831,1018,1095,1295,1233,1370
"LOC103908604",1,1,0,0,0,0,0,0,0
"PREX2",1,0,0,2,5,1,1,0,0
"TEAD4",0,0,0,0,0,0,0,0,1
"LOC101928438",1,0,2,0,0,2,1,5,1
"SSU72",566,1108,1106,627,678,1435,1589,1255,2059
"ADGRA1",0,0,0,0,0,0,0,0,0
"CASC15",0,4,2,10,9,6,11,4,17
"LINC02136",3,0,0,0,0,0,0,0,0
"FAM87B",2,1,5,5,3,0,0,4,3
"LINC02258",0,0,0,0,0,0,0,0,0
"MIR181B1",0,0,8,8,4,1,0,1,2
"ATP5S",131,228,297,161,135,286,312,314,340
"LOC100505774",0,0,2,0,0,0,0,3,0
"NEB",143,51,112,8,66,126,89,160,153
"WDFY3",19,21,28,27,18,104,26,380,470
"SCN7A",0,0,0,0,0,2,0,0,1
"PSMA1",953,1548,2209,1900,1880,1885,2004,2131,2696
"APIP",106,168,214,132,118,270,240,323,323
"EPN3",0,0,1,0,0,0,0,0,1
"LOC646626",12,8,12,4,31,9,15,14,10
"MIR4692",0,0,0,0,0,0,0,0,0
"PCDH8",0,0,0,0,0,0,0,0,0
"HOTAIR",0,0,0,0,0,0,0,0,0
"ZNF148",1975,3170,3952,3184,2770,4226,4643,4410,4330
"ZBTB48",76,152,190,115,128,206,258,243,292
"TDH",1,3,6,0,0,3,10,8,5
"EXOC6",403,585,799,297,262,864,922,913,923
"LOC729966",2,2,2,0,3,3,0,7,4
"FGR",157,64,182,134,67,377,46,891,1907
"NFIA-AS1",0,0,0,0,0,0,0,0,0
"PPIA",2693,4197,5059,3351,2876,6538,6336,5584,8569
"BORCS7",126,192,304,144,159,339,333,352,435
"SDCBP",1404,2447,4814,4283,4505,3034,3254,3691,4706
"GABPA",958,1756,1925,2134,2359,2152,2458,2145,2581
"WDFY3-AS2",2,0,0,0,0,0,1,0,4
"GCK",1,1,4,2,3,4,6,7,6
"C20ORF194",224,244,311,225,220,427,415,631,341
"MAGI2-AS2",0,0,0,0,0,0,0,0,0
"TAF7",988,1645,2218,1644,1373,2335,2278,1780,2422
"FZD5",2,6,12,15,15,17,13,26,25
"HMGN4",968,1542,1649,1170,786,2165,2335,2040,2757
"ANKIB1",930,1565,2027,984,988,2379,2534,2564,2766
"TVP23B",216,367,623,497,449,427,495,454,566
"BEND3",44,52,53,65,37,98,84,68,93
"MIR4417",0,0,0,0,0,0,0,0,0
"LINC01205",0,0,0,0,0,0,0,0,0
"SLC39A2",2,2,1,0,0,1,0,4,0
"LOC102724484",0,0,0,0,0,0,0,0,0
"QTRT2",269,450,695,611,512,623,567,611,695
"LINC02198",0,0,0,0,0,0,0,0,0
"MIB1",1185,2019,2107,929,1058,2517,4166,3211,3035
"DTL",26,67,63,40,61,75,36,52,81
"SARS",728,1029,1783,1359,1426,1588,1720,1732,1739
"LOC101927020",0,0,0,0,0,0,0,0,0
"IDH3B",308,612,886,659,692,808,858,840,1111
"ATP4A",0,0,0,0,0,0,0,0,0
"ANGPTL6",1,5,4,1,1,5,4,2,15
"EFNA3",9,8,6,0,7,9,14,15,21
"LGI1",0,0,0,0,0,0,0,0,0
"PCOLCE-AS1",0,13,6,3,8,9,13,14,8
"RUFY1",315,532,548,395,240,889,654,1054,1415
"UCK2",43,24,40,21,24,65,42,86,91
"CYP27B1",3,15,16,6,2,9,11,20,10
"TTTY9A",0,0,0,0,0,0,0,0,0
"ELOA-AS1",32,61,29,30,19,71,80,67,72
"NFATC4",0,0,0,1,0,0,0,0,1
"TMEM220-AS1",3,8,8,2,4,11,13,16,4
"MIR4732",0,0,0,0,0,0,0,0,0
"CFI",0,0,1,1,0,0,0,0,1
"ALKBH3",104,267,312,234,235,379,371,351,374
"RPL13AP17",0,0,0,0,0,0,0,0,0
"BLOC1S5-TXNDC5",0,0,6,1,0,1,0,6,1
"RFK",166,317,362,372,305,411,632,453,504
"KLHL6-AS1",0,0,0,0,0,0,1,0,0
"CGB5",0,0,0,0,0,0,0,0,0
"ATOH8",0,0,0,0,0,0,0,0,3
"NTN1",1,0,0,2,0,0,1,1,5
"SNORA17B",0,0,0,0,0,0,0,0,0
"FCRLA",6,1,21,4,0,21,12,48,89
"ARSG",226,511,525,260,349,707,620,528,672
"ZNF730",0,0,0,0,0,1,2,2,5
"GRM5",0,0,0,0,0,0,0,0,0
"LOC101927881",0,0,0,0,0,0,0,0,0
"PAPPA",0,0,0,0,0,0,0,0,2
"TMEM35B",180,313,371,66,94,457,513,489,458
"HESX1",0,1,0,0,0,1,1,1,1
"NISCH",950,1644,2368,1343,1626,2125,2398,2417,2822
"MYADML2",0,0,0,0,0,0,0,0,0
"LINC01375",0,0,0,0,0,0,0,0,0
"CDH2",0,14,12,7,1,7,9,0,3
"MIR4321",0,0,0,0,0,0,0,0,0
"LOC105369509",0,0,0,0,0,0,0,0,0
"AGRP",0,0,0,0,0,0,1,0,0
"MIR196A1",0,0,0,0,0,0,0,0,0
"MIR122",0,0,0,0,0,0,0,0,0
"C16ORF97",0,0,0,0,0,0,0,0,0
"MDM1",155,264,348,175,207,395,575,478,740
"CERNA1",21,20,49,79,95,79,83,64,54
"RSPH10B2",0,0,0,0,0,0,0,0,0
"ADAP1",52,65,83,52,51,102,56,125,212
"FXYD7",64,60,75,96,106,67,195,87,101
"CAPZA3",0,0,0,0,0,0,0,0,0
"LINC01879",0,0,0,0,0,0,0,0,0
"MIR4776-1",0,0,0,0,0,0,0,0,0
"FH",122,230,255,185,155,365,317,374,512
"DDX59",326,508,762,449,434,668,805,711,922
"SPAG4",14,30,59,49,33,17,25,25,31
"OR2M2",0,0,0,0,0,0,0,0,0
"HRH4",20,17,14,31,15,26,28,79,52
"MIR335",0,0,0,0,0,0,0,0,0
"MIR4662A",0,0,0,0,0,0,0,0,0
"MUC3A",0,0,0,1,0,1,0,0,0
"MIR4467",2,3,13,8,2,1,5,2,8
"SMARCA5-AS1",1,0,1,6,1,2,2,0,2
"TSPEAR-AS1",2,7,9,0,2,5,6,4,2
"SDF2",85,126,204,186,138,192,213,227,232
"HCG22",0,0,0,0,0,0,0,0,0
"HIST3H3",0,0,0,2,0,0,0,0,0
"ERVK3-1",0,2,2,1,0,0,0,0,0
"PPP3R2",0,0,0,0,0,0,0,0,0
"LINC02092",0,0,0,0,0,0,0,0,0
"EPS15L1",468,667,911,512,446,1063,1008,1182,1246
"TSEN34",28,68,106,118,56,120,90,119,178
"NOP16",42,78,135,105,72,105,109,106,143
"LOC101926948",0,0,1,0,0,0,0,0,4
"CORO1C",130,196,193,328,166,378,197,746,2386
"ACAD9",211,317,445,327,296,475,411,513,448
"MED18",39,44,59,37,38,72,94,50,82
"RHBDD2",657,1200,1745,3380,4078,1318,1314,1150,1371
"CERNA2",2,0,0,0,0,0,0,0,1
"AURKC",6,5,23,17,14,7,8,4,12
"EMB",4710,8470,11754,9245,7060,13004,10669,11031,12093
"AARS",415,643,835,427,277,966,1227,985,1180
"TCAF2",475,826,1185,1337,1660,779,991,802,911
"PPP4R3B",2258,4050,4542,2667,3261,5806,6358,6281,6040
"ZNF645",1,1,4,4,2,0,0,2,0
"C1D",129,196,381,354,324,324,278,338,371
"POMC",16,12,6,2,7,11,86,29,36
"OR51D1",0,0,0,0,0,0,0,0,0
"PTGDR",95,22,35,47,32,199,105,193,174
"HSPA6",0,0,6,7,1,4,1,16,27
"CELF2-AS2",0,0,0,0,0,0,0,0,0
"OR6J1",0,2,0,0,0,0,0,1,0
"ENO1",1627,2718,2824,1476,1506,3270,4131,3494,5238
"METTL14",339,562,1029,815,842,788,814,804,746
"RD3L",0,0,0,0,0,0,0,0,2
